[main] fuzz harness up, mode=scaler
[main] sandbox note: VCPDRM open is MACF-denied (iokit-open-user-client VCPDRMUserClient); mach-lookup com.apple.sprr / com.apple.jitbox exist but are sandbox-gated (seen in kernel log)
[open] AppleM2ScalerCSCDriver -> conn 0x6a03
[scaler] conn 0x6a03, s1 278 s2 282
[probe12] SetNotificationPort -> 0x00000000
[sweep] v97: full IOKit surface sweep
[sweep] svc: IODTNVRAMDiags | IODTNVRAMDiags | IOService:/options/IODTNVRAMDiags
[sweep] svc: IODTNVRAMPlatformNotifier | IODTNVRAMPlatformNotifier | IOService:/options/IODTNVRAMPlatformNotifier
[sweep] svc: D84AP | IOPlatformExpertDevice | IOService:/
[sweep] svc: IOSystemStateNotification | IOSystemStateNotification | IOService:/AppleARMPE/IOSystemStateNotification
[sweep] svc: IOResources | IOResources | IOService:/IOResources
[sweep] svc: options-common | IODTNVRAMVariables | IOService:/options/options-common
[sweep] svc: IOPMrootDomain | IOPMrootDomain | IOService:/AppleARMPE/IOPMrootDomain
[sweep] svc: options | IODTNVRAM | IOService:/options
[sweep] svc: cpu3 | IOPlatformDevice | IOService:/AppleARMPE/cpu3@3
[sweep] svc: cpu4 | IOPlatformDevice | IOService:/AppleARMPE/cpu4@100
[sweep] svc: vram | IOPlatformDevice | IOService:/AppleARMPE/vram@F2C20000
[sweep] svc: buttons | IOPlatformDevice | IOService:/AppleARMPE/buttons
[sweep] svc: cpu0 | IOPlatformDevice | IOService:/AppleARMPE/cpu0@0
[sweep] svc: socd-trace-ram | IOPlatformDevice | IOService:/AppleARMPE/socd-trace-ram@EDE89014
[sweep] svc: sacm-general | IOPlatformDevice | IOService:/AppleARMPE/sacm-general
[sweep] svc: defaults | IOPlatformDevice | IOService:/AppleARMPE/defaults
[sweep] svc: iboot-syscfg | IOPlatformDevice | IOService:/AppleARMPE/iboot-syscfg
[sweep] svc: port-usb-c-1 | IOPlatformDevice | IOService:/AppleARMPE/port-usb-c-1
[sweep] svc: backlight | IOPlatformDevice | IOService:/AppleARMPE/backlight
[sweep] svc: core-brightness | IOPlatformDevice | IOService:/AppleARMPE/core-brightness
[sweep] svc: baseband | IOPlatformDevice | IOService:/AppleARMPE/baseband
[sweep] svc: amfm | IOPlatformDevice | IOService:/AppleARMPE/amfm
[sweep] svc: sacm-jasper | IOPlatformDevice | IOService:/AppleARMPE/sacm-jasper
[sweep] svc: product | IOPlatformDevice | IOService:/AppleARMPE/product
[sweep] svc: filesystems | IOPlatformDevice | IOService:/AppleARMPE/filesystems
[sweep] svc: fillmore | IOPlatformDevice | IOService:/AppleARMPE/fillmore
[sweep] svc: cpu5 | IOPlatformDevice | IOService:/AppleARMPE/cpu5@101
[sweep] svc: cpu2 | IOPlatformDevice | IOService:/AppleARMPE/cpu2@2
[sweep] svc: arm-io | IOPlatformDevice | IOService:/AppleARMPE/arm-io@10F00000
[sweep] svc: pram | IOPlatformDevice | IOService:/AppleARMPE/pram@FFEAC000
